RA	DE	Halpha	RVHalpha	SigmHalpha	[NII]6548	RV[NII]6548	Sigm[NII]6548	[NII]6584	RV[NII]6584	Sigm[NII]6584	[SII]6717	RV[SII]6717	Sigm[SII]6717	[SII]6731	RV[SII]6731	Sigm[SII]6731
147.51	19.6	52.21	-271.8903492	2.606651646	4.003	-54.89471717	247.0379041	12.01	-31.83269148	245.7212127	7.262	-192.4364669	75.17356082	8.571	-218.7310224	74.99926822
146.169	19.6	63.51	-271.0224197	0	6.604	-292.8786536	20.86077323	19.81	-268.5513328	20.71123563	16.7	-234.79838	0	12.63	-260.9985322	0
144.828	19.6	73.97	-274.4484574	0	4.004	-196.2291558	179.1504251	12.01	-172.4156938	178.1934379	15.65	-237.0749422	0	10.34	-263.2700211	0
143.487	19.6	94.17	-275.4077479	9.021415462	3.279	-112.7653781	228.4024658	9.836	-89.39567006	227.1845881	12.29	-230.8255557	21.0179411	2.199	-257.0345613	20.94688065
142.146	19.6	101.4	-278.4683416	10.62039556	8.248	-284.912281	21.31094371	24.74	-260.6273152	21.15983009	31.4	-238.1462656	0	21.54	-264.3834961	0
140.805	19.6	118.2	-286.0513049	16.12217065	10.03	-282.2568235	13.87271102	30.08	-257.985976	13.74080128	29.83	-246.5829375	0	12.65	-272.7568278	0
139.464	19.6	180	-295.9639739	18.62278926	10.97	-298.69319	21.62464929	32.9	-274.3349549	21.47241724	30.28	-250.6896772	13.43314814	35.23	-276.8544157	13.36528201
138.123	19.6	313.4	-301.1715512	18.97521055	20.89	-299.7004325	22.13764103	62.67	-275.3368422	21.98354641	50.42	-258.5014104	22.28944148	28.24	-284.6487405	22.21693071
136.782	19.6	305.5	-303.2728543	22.58812611	19.35	-296.9991912	22.0263648	58.06	-272.6499626	21.87267763	50.1	-254.8410554	18.87692483	38.19	-281.0410816	18.80788463
135.441	19.6	282.7	-302.4049247	24.95314198	20.7	-302.4016738	20.88334019	62.11	-278.0237217	20.73372443	43.38	-259.7066492	25.32193933	36.12	-285.8512934	25.24540811
134.1	19.6	362.6	-299.6184141	24.17251066	24.45	-302.2185388	24.38147681	73.34	-277.8415604	24.21880656	63.24	-262.1171269	19.69573343	52.23	-288.2563993	19.62599138
132.759	19.6	768.6	-292.6292973	18.36937962	59.66	-294.5726524	13.40149842	179	-270.2363251	13.27004016	138.2	-252.2966623	16.06787314	89.24	-278.4578196	16.00036871
131.418	19.6	1769	-289.4316621	11.5233196	124.9	-291.0473036	11.11344405	374.7	-266.7297196	10.98168045	291.1	-246.9400453	8.305398887	197.8	-273.1131398	8.22540037
130.077	19.6	2407	-291.0761602	10.7573349	163	-293.5654099	11.17134624	489.1	-269.2344378	11.03965396	355.5	-248.5916689	9.782493381	233.1	-274.7610828	9.708542128
128.736	19.6	2163	-289.1575791	9.587964176	128.6	-291.8714111	10.19290288	385.9	-267.5494455	10.05942043	310.1	-246.2704681	6.541258518	206.5	-272.4450548	6.448428424
127.395	19.6	2259	-288.7464546	6.344754498	149.3	-292.3292486	7.525844122	447.8	-268.0048489	7.378087046	332.8	-246.449022	0	242	-272.6232108	0
126.054	19.6	2027	-289.5687036	8.011900079	118.1	-290.9557361	9.413154776	354.2	-266.6386389	9.277191539	279.3	-246.8061298	4.493244841	205.1	-272.9795228	4.368526731
124.713	19.6	2403	-285.5488194	7.969473973	119	-289.9484936	9.476977874	357	-265.6367516	9.341259216	254.6	-241.7619821	5.46268428	183.4	-267.946616	5.35655922
123.372	19.6	2469	-283.9500018	9.661656507	152.2	-287.0641173	10.25371706	456.6	-262.7677108	10.12038521	339.1	-239.5746968	5.945659766	241	-265.764205	5.846207896
122.031	19.6	2715	-285.5944999	8.826619446	179	-287.109901	7.068754893	537	-262.8132511	6.91634889	367.8	-241.5387898	1.19920386	260.9	-267.723921	0.645249646
120.69	19.6	2379	-283.0363918	9.771441945	109.1	-287.659306	11.20023574	327.3	-263.3597351	11.06857755	236.5	-244.7973985	16.45600641	161.7	-270.9752679	16.38838607
119.349	19.6	1948	-278.5597026	13.44532009	104.3	-283.5845522	16.33165504	313	-259.3066456	16.19545644	253	-239.5746968	17.0685205	171.9	-265.764205	17.00064775
118.008	19.6	2089	-274.1743744	10.37780076	109.1	-277.3579621	14.1572144	327.3	-253.1131606	14.02496546	407.7	-237.1195807	5029.368305	378.8	-263.3145601	5018.160282
116.667	19.6	1353	-271.4792247	15.35872275	65.24	-278.4109884	18.80121616	195.7	-254.1605882	18.65838811	148.6	-232.1200715	18.24135184	106.9	-258.3261922	18.17278678
115.326	19.6	1521	-262.7085683	7.445462747	86.13	-266.4156457	9.316904814	258.4	-242.2290214	9.18055739	225	-221.0497296	2.686771055	154.2	-247.2805206	2.48420215
113.985	19.6	1737	-263.3937758	8.09622484	103.2	-266.919267	9.635372995	309.7	-242.7299651	9.500227459	267.4	-218.9963597	0	186.3	-245.2317266	0
112.644	19.6	1646	-262.2974438	8.054149446	98.6	-265.0879169	9.349057785	295.8	-240.9083518	9.212840782	250.4	-219.2195521	4.148596027	175.3	-245.4544216	4.014833185
111.303	19.6	1727	-262.4801658	11.29382728	106.8	-263.9891069	8.758859097	320.5	-239.8153839	8.619890193	267.4	-217.3893746	5.118590976	185.5	-243.6283227	5.006794413
109.962	19.6	1681	-262.9826513	10.41269474	95.44	-265.2252682	8.45374918	286.3	-241.0449728	8.313029837	246.3	-218.9070828	0	164	-245.1426486	0
108.621	19.6	1505	-267.2766185	17.18379206	84.91	-268.018077	8.892209142	254.7	-243.822933	8.753931431	224.3	-221.4961144	3.274391443	165.9	-247.7259106	3.107823345
107.28	19.6	1471	-273.4434863	19.99280162	75.43	-270.0783458	12.10480703	226.3	-245.8722479	11.97375935	177.9	-223.5494842	12.38238906	121.9	-249.7747045	12.31363546
105.939	19.6	1666	-267.048216	9.771441945	81.39	-267.0566182	10.55468223	244.2	-242.8665861	10.4220144	203.1	-220.4694294	6.099218145	139.1	-246.7460526	6.001625134
104.598	19.6	1424	-265.951884	7.579191957	74	-268.3385632	7.261794342	222	-244.1417153	7.111462967	185.5	-219.8891292	1.608871582	134.2	-246.1225066	1.249641336
103.257	19.6	882.3	-281.4375742	41.87571622	43.47	-297.044975	49.72686313	130.4	-272.695503	49.44628737	109.6	-251.4485313	47.26514234	77.8	-277.6115787	47.14904609
101.916	19.6	1088	-268.6013531	16.89494232	34.05	-284.729146	35.42231688	102.2	-260.4451539	35.21125218	114.4	-223.9512305	13.40460328	69.25	-250.1755555	13.33671976
100.575	19.6	2596	-269.5606436	8.304084395	118.1	-270.3072645	8.522184784	354.3	-246.0999496	8.381879427	308.3	-224.9779154	0	225.5	-251.1999525	0
99.234	19.6	4083	-269.5149631	7.031917872	191.4	-271.863912	8.522184784	574.1	-247.6483208	8.381879427	446.9	-225.4243002	0	316.7	-251.6453424	0
97.893	19.6	3084	-270.7940172	8.9438799	184.7	-273.7410458	10.22333669	554.1	-249.5154744	10.08993032	448.4	-227.566947	4.289528193	330.6	-253.7832144	4.159662759
96.552	19.6	2083	-282.8079893	13.76928641	141.7	-286.4689285	13.0029765	425	-262.1756865	12.87178308	334.7	-238.9051197	10.29625324	220.1	-265.09612	10.22377224
95.211	19.6	1710	-287.1019565	14.57554979	127.4	-291.3677899	13.4805465	382.2	-267.0485019	13.34902259	319.8	-245.8240834	10.32987381	208.5	-271.9996648	10.25747989
93.87	19.6	1159	-290.4823136	18.24212863	101.1	-295.9461649	16.45317739	303.4	-271.602535	16.31669842	225.1	-249.7076307	16.48173147	177.8	-275.8745577	16.41410219
92.529	19.6	884.4	-286.3710684	17.39249665	64.1	-290.6352498	17.699223	192.3	-266.3198566	17.55957823	197.5	-246.0919142	14.19173701	138.4	-272.2668988	14.12421316
91.188	19.6	670.9	-284.9549729	15.87875273	59.63	-291.9171949	13.26927518	178.9	-267.5949859	13.13791722	152.9	-246.4936605	12.73821003	99.52	-272.7122888	12.6698169
89.847	19.6	468.8	-281.8030182	19.22533471	35.85	-287.8882248	21.42311157	107.5	-263.5874367	21.2715999	115.5	-244.0385444	17.11912009	75.73	-270.2181049	17.05122292
88.506	19.6	543.9	-277.0979265	16.94762671	39.49	-282.6230935	21.75875283	118.5	-258.3502986	21.60603783	111.5	-238.1462656	19.4802633	77.59	-264.3389571	19.41071511
87.165	19.6	423.2	-278.4683416	15.6334954	27.34	-284.3170922	20.90590088	82.03	-260.0352909	20.75620689	94.66	-238.4140965	15.11753741	60.67	-264.6061911	15.05015388
85.824	19.6	245.7	-282.3968648	14.26177158	21.11	-287.293036	19.2180342	63.34	-262.9954124	19.07392185	65.66	-244.3510137	11.27516983	42.53	-270.5298779	11.20482623
84.483	19.6	160	-283.4931968	12.69163875	9.737	-289.2159536	19.49445361	29.21	-264.9081063	19.34946752	36.27	-246.7614914	17.0938285	24.41	-272.9349838	17.02594361
